file_name,best_fitness,time
problem_g_10.npy,1497.6636482252907,0.1552112102508545
problem_g_100.npy,4324.673658906852,0.7087883949279785
problem_g_1000.npy,14146.09770908454,7.807863235473633
problem_g_20.npy,1755.514677083005,0.21733927726745605
problem_g_200.npy,6261.32614923138,1.3327217102050781
problem_g_50.npy,2879.7755950506184,0.4004814624786377
problem_g_500.npy,9653.958124862891,3.527505397796631
problem_r1_10.npy,184.27344079993898,0.1594862937927246
problem_r1_100.npy,765.2321309234652,0.7047343254089355
problem_r1_1000.npy,2588.513294859821,7.782965183258057
problem_r1_20.npy,350.3808573938225,0.22626352310180664
problem_r1_200.npy,1128.1497993257356,1.3655564785003662
problem_r1_50.npy,572.3396562984965,0.4081292152404785
problem_r1_500.npy,1765.1635724611795,3.56042218208313
problem_r2_10.npy,-411.70171555249846,0.1587221622467041
problem_r2_100.npy,-4671.8996507897955,0.723438024520874
problem_r2_1000.npy,-49412.73371755143,7.638899803161621
problem_r2_20.npy,-836.9926437213996,0.22125625610351562
problem_r2_200.npy,-9595.045528837718,1.3662617206573486
problem_r2_50.npy,-2252.1011431914003,0.41406893730163574
problem_r2_500.npy,-24511.163763597488,3.5494887828826904
test_problem.npy,2823.79,0.2170867919921875
